URL	Study	Year	KD type	MT type	Compression ratio	Teacher params	Student params	tfbase teacher and student?	Student params	Languages Count	Languages	Language pairs	English centric?	Same architecture?	Dataset	Metric	Venue	Section	Remarks	Teacher params
https://arxiv.org/pdf/1908.06258	he2019language	2019	Seq-KD	seq2seq	1			y	Transformer hidden size: 256 ff: 1024 layers: 6	9	ar, fi, he, nb, sl, en, fr, ru, sk	ar-en ar-fi ar-fr ar-he ar-nb ar-ru ar-sk ar-sl en-ar en-fi en-fr en-he en-nb en-ru en-sk en-sl fi-ar fi-en fi-fr fi-he fi-nb fi-ru fi-sk fi-sl fr-ar fr-en fr-fi fr-he fr-nb fr-ru fr-sk fr-sl he-ar he-en he-fi he-fr he-nb he-ru he-sk he-sl nb-ar nb-en nb-fi nb-fr nb-he nb-ru nb-sk nb-sl ru-ar ru-en ru-fi ru-fr ru-he ru-nb ru-sk ru-sl sk-ar sk-en sk-fi sk-fr sk-he sk-nb sk-ru sk-sl sl-ar sl-en sl-fi sl-fr sl-he sl-nb sl-ru sl-sk	n	y	TED Talks	BLEU	Preprint	LRMT	Language-Graph Seq-KD. Greedy approach to select the best path. \\	Transformer hidden size: 256 ff: 1024 layers: 6
https://www.ijcai.org/proceedings/2022/0618.pdf	Yang_2022 	2022	Seq-KD	seq2seq	1	209M	209M	n	transformer_big l: 6, h: 16, emb edding sized: 1024, ffn: 4096, vocab?	9	en, fr, cs, de, fi, et, ro, hi, tr	cs-en de-en en-cs en-de en-et en-fi en-fr en-hi en-ro en-tr et-en fi-en fr-en hi-en ro-en tr-en	y	y	WMT?, TED Talks, NewsCrawl?	BLEU	International Joint Conference on Artificial Intelligence	LRMT		transformer_big l: 6, h: 16, emb edding sized: 1024, ffn: 4096, vocab?
https://aclanthology.org/2024.lrec-main.1063.pdf	ahmed2024neural 	2024	Seq-KD	seq2seq	1	65M	65M	y	vocab: 30k, tf-base	5	xho, zul, nso, tsn, en	en-nso en-zul en-tsn en-xho nso-en nso-tsn zul-en zul-xho tsn-en tsn-nso  xho-en xho-zul	n	y	WMT22, Flores+	BLEU	LREC	LRMT		vocab: 30k, tf-base
https://aclanthology.org/2020.coling-main.302.pdf	saleh2020collective	2020	Word-KD	seq2seq	1	11.9M	11.9M	n	hs: 256, ff: 1024, l: 2	6	ru,de,it,pl,nl,es- en, sl, gl, et, nb, eu	de-en en-de en-es en-et en-eu en-gl en-it en-nb en-nl en-pl en-ru en-sl es-en et-en eu-en gl-en it-en nb-en nl-en pl-en ru-en sl-en	y	y	IWSLT14, TED Talks	BLEU	COLING	LRMT	Word-KD, Selective KD, Adaptive KD. \\	hs: 256, ff: 1024, l: 2
https://aclanthology.org/2021.findings-emnlp.114.pdf	saleh-etal-2021-multilingual-neural 	2021	Word-KD	seq2seq	1	19.2M	19.2M	n	hs: 256, ff: 1024, l: 6	54	kk, be, bn, eu, ms, bs, az, ur, ta, mn, mr, gl, ku, et, ka, nb, hi, sl, hy, my, fi, mk, lt, sq, da, sv, sk, id, th, cs, uk, hr, el, sr, hu, fa, de, ja, vi, bg, pl, ro, tr, nl, zh, es, it, ko, ru, he, fr, ar, pt	ar-en az-en be-en bg-en bn-en bs-en cs-en da-en de-en el-en en-ar en-az en-be en-bg en-bn en-bs en-cs en-da en-de en-el en-es en-et en-eu en-fa en-fi en-fr en-gl en-he en-hi en-hr en-hu en-hy en-id en-it en-ja en-ka en-kk en-ko en-ku en-lt en-mk en-mn en-mr en-ms en-my en-nb en-nl en-pl en-pt en-ro en-ru en-sk en-sl en-sq en-sr en-sv en-ta en-th en-tr en-uk en-ur en-vi en-zh es-en et-en eu-en fa-en fi-en fr-en gl-en he-en hi-en hr-en hu-en hy-en id-en it-en ja-en ka-en kk-en ko-en ku-en lt-en mk-en mn-en mr-en ms-en my-en nb-en nl-en pl-en pt-en ro-en ru-en sk-en sl-en sq-en sr-en sv-en ta-en th-en tr-en uk-en ur-en vi-en zh-en	y	y	TED Talks	BLEU	EMNLP Findings	LRMT		hs: 256, ff: 1024, l: 6
https://aclanthology.org/2022.emnlp-main.458/	huang-etal-2022-unifying 	2022	Word-KD	seq2seq	1	76.9M	76.9M	n	l: 6, h: 8, vocab: 64k, tfbase	23	bos, mar, hin, mkd, ell, bul, fra, kor, aze, bel, glg, slk, tur, rus, por, ces, et, ro, tr, fr, de, zh, en	aze-en bel-en bos-en bul-en ces-en de-en ell-en en-aze en-bel en-bos en-bul en-ces en-de en-ell en-et en-fra en-glg en-hin en-kor en-mar en-mkd en-por en-ro en-rus en-slk en-tur en-zh et-en fra-en glg-en hin-en kor-en mar-en mkd-en por-en ro-en rus-en slk-en tur-en zh-en	y	y	TED Talks, WMT14, WMT16, WMT17, WMT18	BLEU	EMNLP	Discarded		l: 6, h: 8, vocab: 64k, tfbase
https://aclanthology.org/2023.acl-long.211/	huang2023towards 	2023	Word-KD	seq2seq	1	76.9M	76.9M	n	l: 6, h: 8, vocab: 64k, tfbase	23	bos, mar, hin, mkd, ell, bul, fra, kor, et, ro, tr, fr, de, zh, en	bos-en bul-en de-en ell-en en-bos en-bul en-de en-ell en-et en-fra en-hin en-kor en-mar en-mkd en-ro en-tr en-zh et-en fra-en hin-en kor-en mar-en mkd-en ro-en tr-en zh-en	y	y	TED Talks, WMT14, WMT16, WMT17, WMT18	BLEU	ACL	LRMT		l: 6, h: 8, vocab: 64k, tfbase
https://aclanthology.org/2024.loresmt-1.7/	roy-etal-2024-enhancing 	2024	Word-KD	seq2seq	-	550M		n	XLM-R + l: 12, h: 16 in the decoder	3	kannada, punjabi, hindi	hin-kan hin-pan kan-hin kan-pan pan-hin pan-kan	n	y	Samanantar, Flores+	ChrF, BLEU	LoResMT	Discarded		550M, XLM-R large
https://rua.ua.es/dspace/bitstream/10045/135116/1/Galiano-Jimenez_etal_Proceedings-EAMT-2023.pdf	galiano2023exploiting	2023	Seq-KD	seq2seq	13.6	680M	50M	n	50M	5	en, burmese, swahili, kyrgyz, macedonian	en-kir en-mkd en-mya en-swa kir-en mkd-en mya-en swa-en	y	y	Samanantar, Flores+	BLEU, spBLEU	EAMT	LRMT	Seq-KD from mBART50 with iterative back-translation and fine-tuning including languages not part of pretraining stage.\\	680M
https://aclanthology.org/2023.americasnlp-1.20.pdf	de-gibert-etal-2023-four	2023	Seq-KD	seq2seq	50.77	3300M	65M	n	l: 6, h: 8, embedding: 512, ff: 2048. tf-base	12	es, aym, bzd, cni, czn, gn, hch, nah, oto, shp, tar, quy	es-aym es-bzd es-cni es-czn es-gn es-hch es-nah es-oto es-shp es-tar es-quy	n	y	OpenSubtitles, AmericasNLP	ChrF	AmericasNLP	LRMT	Seq-KD and fine-tuning. \\	3.3B
https://arxiv.org/pdf/2303.01347	song2023letz	2023	Word-KD	seq2seq	9.23	600M	65M	n	tf-base	2	lb, de, en	lb-en de-en en-de en-lb	y	y	Gierschek (2022), Flores+, Tatoeba	BLEU, ChrF++	IEEE	Discarded	Seq-KD and fine-tuning.\\	600M
https://arxiv.org/pdf/2404.13813	enis2024llm	2024	Seq-KD	seq2seq	41.54	54000M	1300M	n	1.3B	2	en, yoruba	en-yor yor-en	y	y	BBC	spBLEU, ChrF++	Preprint	Discarded		54B
https://aclanthology.org/2020.wmt-1.61.pdf	dabre-fujita-2020-combining 	2020	Seq-KD	seq2seq	2.98, 2.10, 1.66, 5.15, 14.15	48.2M	11.4M	n	l: 1, h: 512, vocab: 8k	3	vi, en, hi	vi-en hi-en en-vi en-hi	y	y	Asian Languages Treebank, IWSLT15, IITB	BLEU	WMT	LRMT		l: 6, h: 512, vocab: 8k
https://aclanthology.org/2022.wmt-1.80.pdf	diddee-etal-2022-brittle 	2022	Seq-KD	seq2seq	3.07, 8.03, 6.50, 3.09, 1.23	65M		n	??? Cant find, only MB	8	bzd, hch, unr, gon, hin, asm, ori, pan, guj	bzd-es hch-es unr-hin gon-hin asm-eng ori-eng pan-eng guj-eng	n	y	AmericasNLP, Feldman and Coto-Solano (2020), GGNET Swara, Indian Institute of Technology, Flores+, WAT2021, Samanantar, Tatoeba	BLEU, ChrF++	WMT	LRMT		vocab: 32k, 8 heads, 6 layers
https://aclanthology.org/2023.eamt-1.11.pdf	gumma2023empirical 	2023	Word-KD+Seq-KD	seq2seq	2.29, 1.70, 2.08, 2.59, 3.40, 4.98	474M	95.4M	n	95.4M	12	as, or, pa, gu, mr, kn, te, ta, ml, bn, hi, en		y	y	Samanantar, Flores+	BLEU, ChrF++	EAMT	LRMT		474M
https://aclanthology.org/D19-1078.pdf	zeng-etal-2019-iterative 	2019	Word-KD	seq2seq	1	65M	65M	y	vocab: 32k l: 512, ff: 2048, h: 8	3	zh, en, de	zh-en de-en en-zh en-de	y	y	IWSLT15, IWSLT10, NIST02, IWSLT11, IWSLT12, NIST03, NIST04, NIST05, NIST06, TED Talks, WMT14, OPUS	BLEU	EMNLP-IJCNLP	Domain		vocab: 32k l: 512, ff: 2048, h: 8
https://ebooks.iospress.nl/volumearticle/55130	mghabbar2020building 	2020	Word-KD	seq2seq	1	65M	65M	y	tf-base	2	en, fr	fr-en en-fr	y	y	WMT14, OPUS	BLEU	ECAI	Domain		tf-base
https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9900324	liu2022neural  	2022	Word-KD	seq2seq	1	52.3M	52.3M	n	vocab: 16k, embedding: 512, tf base	2	en, zh	en-zh zh-en	y	y	OpenSubtitles, WMT17, UM	BLEU	IEEE	Domain		vocab: 16k, embedding: 512, tf base
https://aclanthology.org/2021.naacl-main.308.pdf	gu-etal-2021-pruning 	2021	Word-KD	seq2seq	1	65M	65M	y	tf-base	4	en, zh, fr, de	zh-en fr-en de-en en-zh en-fr en-de	y	y	WMT17, UM, WMT14, WMT19, WMT16, IWSLT15	BLEU	NAACL	Domain		tf-base
https://aclanthology.org/2020.ngt-1.12.pdf	gordon-duh-2020-distill 	2020	Seq-KD	seq2seq	2,8,24	103.6M	11.3M	n	l: 2, ffsiez: 1024, hd: 256, vocab: 30k	4	de, en, ru, zh	de-en ru-en zh-en en-de en-ru en-zh	y	y	OpenSubtitles, WMT17, COPPA v2.0, TED Talks	BLEU	Workshop on Neural Generation and Translation	Domain		l: 12, ffsiez: 2048, hd: 512, vocab: 30k
https://aclanthology.org/2020.emnlp-main.364.pdf	currey-etal-2020-distilling 	2020	Seq-KD	seq2seq	1.66	100M	60M	n	tf-base, vocab: 32k, l: 6 60M	3	de, en, fr	de-en fr-en en-de en-fr	y	y	Europarl, OPUS, WMT14, WMT19, MTNT, TED Talks	BLEU	EMNLP	Domain		tf-base, vocab: 32k, l: 12 100M
https://aclanthology.org/N19-1192.pdf	wei-etal-2019-online 	2019	Word-KD	seq2seq	1	65M	65M	y	tf-base	4	zh, en, vi, tr	en-zh en-vi en-tr zh-en vi-en tr-en	y	y	NIST?, WMT17, IWSLT15	BLEU		Discarded		tf-base
https://arxiv.org/pdf/2212.02800	zhao2022life	2022	Seq-KD	seq2seq	1	65M	65M	y	tf-base	12	en, it, nl, ro, uig, zh, tib, mon, ja, de, fi, lv, tr	en-it en-nl en-ro uig-zh tib-zh mon-zh zh-en ja-en de-en fi-en lv-en tr-en	n	y	TED Talks, CCMT-19, KFTT, WMT17	BLEU	Preprint	Domain		tf-base
https://aclanthology.org/2023.acl-long.443.pdf	zhang-etal-2023-continual 	2023	Word-KD	seq2seq	1	65M	65M	y	tf-base	2	zh, en	zh-en en-zh	y	y	LDC, AI Challenger 2017, TED Talks, OpenSubtitles, WMT20, NIST02, , NIST03, NIST04, NIST05, NIST06, NIST07, NIST08, NIST09	BLEU	ACL	Discarded		tf-base
https://aclanthology.org/2023.acl-long.131/	wang-etal-2023-better  	2023	Seq-KD	seq2seq	1	65M	65M	y	tf-base	3	en, de, zh	de-en zh-en en-vi	y	n	WMT15, CWMT19, IWSLT15	BLEU, wait-k	ACL	Temporal		tf-base
https://ojs.aaai.org/index.php/AAAI/article/view/26497	deng2022improving 	2022	Seq-KD	seq2seq	1	65M	65M	y	tf-base tf-big	3	en, zh, ja	en-zh  en-ja	y	n	CWMT08, CWMT09, CWMT11, WMT2020	BLEU, wait-k	AAAI Conference on Artificial Intelligence	Temporal		tf-base tf-big
https://aclanthology.org/2023.eacl-main.270.pdf	sen-etal-2023-self 	2023	Seq-KD	seq2seq	1	65M	65M	y	tf-base	3	en, cs, de	en-de en-cs	y	n	IWSLT21, WMT21	BLEU, ChrF, COMET, mean per token entropies, Kendall tau	EACL	Temporal		tf-base
https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8863411	zhang2019future 	2019	Feature-KD	seq2seq	-		-	n	-	3	en, de, zh	zh-en en-de	y	n	WMT17, NIST?	BLEU, AER	IEEE	Temporal		-
https://aclanthology.org/2021.acl-long.223.pdf	feng-etal-2021-guiding 	2021	Word-KD	seq2seq	1	65M	65M	y	tf-base	4	en, de, ro, zh	zh-en en-ro zh-en en-de	y	n	LDC, WMT16, WMT17	BLEU	ACL	Temporal		tf-base + seer decoder?
https://aclanthology.org/2022.acl-long.206.pdf	zhou-etal-2022-confidence 	2022	Word-KD	seq2seq	1	65M	65M	y	tf-base	4	en, de, fr, zh	en-de zh-en en-fr	y	n	WMT14, WMT19	BLEU, COMET	ACL	Temporal		tf-base + CMLM decoder?
https://aclanthology.org/2023.acl-long.63.pdf	zhuang-tu-2023-pretrained	2.023	Word-KD	seq2seq	1.23	108M	88M	n		36	af, ar, be, bg, cs, de, el, en, eo, es, et, fi, fr, gu, he, hi, it, ja, ka, kk, ko, lt, lv, mn, ms, mt, my, nl, pl, pt, ro, ru, sr, tr, vi, zh	x-x	n	n	PC32, MC24	BLEU	ACL	Temporal		
https://aclanthology.org/2022.naacl-main.277.pdf	shao2022one 	2022	Seq-KD	seq2seq	1	65M	65M	y	tf-base	4	en, de, ro, fr	de-en ro-en fr-en en-de en-ro en-fr	y	n	WMT14, WMT16, IWSLT14	BLEU	NAACL	Temporal		tf-base
https://arxiv.org/pdf/2112.11640	guo2021self	2021	Seq-KD	seq2seq	1	65M	65M	y	tf-base	3	en, de, ro	en-de en-ro de-en ro-en	y	n	WMT14, IWSLT14	BLEU	Preprint	Temporal		tf-base
